Inspector 1, Inspector 2C2, Inspector 2C3, Workstation 1,Workstation 2,Workstation 3 
9.226916,16.651508,17.833044,7.786871,11.948871,3.8634877,
3.426054,1.3366587,23.865992,1.5313623,26.568962,3.4593241,
3.3921902,20.118645,20.357994,1.3935083,3.0025024,6.6672573,
6.401503,6.5356555,9.543785,1.1112362,3.8527048,9.12488,
1.6673878,47.900227,16.833515,0.8403906,4.019938,0.29269627,
4.794208,26.859636,11.746812,2.8064597,0.014751271,4.8155365,
6.8467026,0.052823916,18.942995,5.3727427,10.67037,29.768715,
0.4435485,13.766086,19.351938,8.614819,35.119728,11.761625,
1.3656437,5.818159,1.7464671,6.049862,0.052007116,2.258145,
0.73345876,0.22555907,16.802261,5.2475643,0.30258185,2.0502322,
3.15695,37.1378,19.868456,3.3440566,11.386385,1.6923212,
7.9902153,20.441969,12.018018,0.3315746,3.3929493,0.008902725,
1.194873,70.14372,7.8376613,1.1419145,2.668833,17.267172,
7.431826,7.1114306,8.209289,8.879835,18.562365,9.575856,
1.3412858,18.730537,4.691747,0.85324985,14.034811,4.9021506,
5.7370377,18.551695,13.401805,1.9078654,32.972332,8.672875,
4.4437327,9.762624,42.623676,3.0325792,18.907486,4.780851,
7.4577494,57.777824,6.458772,1.7907344,27.83518,3.910427,
11.352305,19.378805,29.572477,0.35483447,24.900297,15.545348,
7.465969,5.7585397,14.668054,2.7428455,10.325425,29.726881,
18.921915,29.86545,2.2342038,1.5445298,2.3447201,3.5429814,
1.0934026,9.969687,22.335804,2.8347473,8.99526,5.58307,
1.6802835,3.7202094,5.4607553,4.204493,7.8606415,11.385815,
3.6424336,0.92588574,55.418587,0.17877029,0.20516062,18.932617,
4.5076885,20.79731,47.491634,2.3051586,15.809364,14.257618,
4.977521,7.9778123,26.060152,1.5306879,1.9959766,6.040662,
1.0386208,18.059807,22.062494,7.096525,5.736712,9.301346,
23.228554,22.916338,4.6626945,3.666816,12.977463,0.032339483,
40.437073,6.098324,35.101788,4.3607607,4.554854,1.6385711,
3.7180853,29.474138,49.800537,0.15341713,11.749234,19.252195,
11.14448,24.968208,6.972174,8.571517,4.849348,9.125352,
3.406779,16.573427,4.2511826,0.26819,4.17579,1.065215,
4.5396066,4.767659,24.94828,1.6797655,16.478207,8.650913,
5.1381793,1.3940306,26.216316,9.043897,13.911275,19.706509,
28.684132,0.66827565,6.429972,3.8118072,0.91852355,19.105492,
2.4636724,6.0568504,48.39619,3.7255077,4.025458,18.45078,
5.7258587,7.863308,29.694675,0.27797973,11.679312,5.7869463,
1.4285362,7.9258027,4.8121004,11.877943,10.790818,0.7099619,
14.011879,0.5147197,56.1102,1.3741604,8.178407,1.7049917,
4.238507,0.3146876,0.35008383,4.1434464,16.66906,0.19385472,
0.7835359,1.5589312,0.64104146,8.529816,9.053012,1.5847559,
3.9933743,4.726673,11.283716,0.73269725,16.729427,0.976038,
35.928844,20.644552,50.10714,1.9907616,7.996222,0.7476979,
10.107578,14.060596,10.858807,10.01583,9.409835,4.193291,
9.027529,9.26745,16.815132,3.7686605,28.442423,27.884953,
7.553372,1.1921054,36.267048,3.2697551,1.0860229,1.24453,
8.862362,8.368269,27.854477,13.896813,4.576641,6.3751535,
3.6073244,14.008822,3.6250618,1.0350657,18.808216,6.691232,
8.554575,24.975956,5.968796,2.4567156,20.891356,0.6734753,
7.1303325,14.542769,21.493732,2.7681663,0.9576387,14.930442,
9.376973,0.9441309,12.311399,2.692462,38.469044,0.12859799,
0.3672584,5.608675,11.237225,0.41645074,12.001222,6.2755103,
9.719991,5.666284,50.099358,11.939419,22.129734,3.1479373,
5.189198,1.0071795,11.320513,6.4113703,11.946023,23.421524,
0.31417856,12.203611,16.347212,0.086794235,7.5924697,10.882442,
15.005982,8.074926,72.70252,0.98679125,23.302578,7.508046,
5.94052,1.7089971,5.838713,5.8352613,1.5313665,16.505922,
0.98194534,12.728575,69.36022,14.622333,13.544053,7.230332,
17.929707,6.0068154,10.477217,4.2306595,17.273401,5.3163557,
12.62552,22.424324,12.976562,0.18263102,0.39000842,17.29043,
2.3770072,2.7687469,16.269735,6.7169523,3.8731422,9.573759,
15.892141,16.97959,22.264885,3.3132362,1.9456452,1.1888714,
4.639161,4.683942,41.02391,9.542591,1.9795687,4.646716,
13.415968,19.687218,1.4194814,1.5672034,10.302685,9.839581,
1.4134629,1.7207894,4.405985,5.357433,19.64095,16.333796,
3.8355448,1.2189726,0.91288507,1.1013879,0.77980345,28.544106,
17.316488,1.2258334,62.339764,0.80959857,6.2523885,7.27034,
1.271427,5.920085,49.377552,1.3345436,1.0451084,21.173742,
6.402583,24.40039,17.927958,3.6484108,0.92859656,4.8692074,
6.7328978,51.820843,23.792068,1.4596602,5.2574854,0.7646714,
4.1710267,4.974563,33.463768,0.24980056,6.703964,10.236217,
0.8389899,3.4617825,4.105145,2.7113354,15.171658,1.6379168,
11.743651,11.222088,31.906412,7.956232,1.1515518,1.3383875,
9.664056,12.583022,9.847352,6.58467,14.744906,5.0055327,
6.2049665,3.656837,13.21654,5.6435566,2.5942366,13.300939,
15.022219,2.9989808,4.848376,1.7026788,11.911092,0.25483912,
15.582047,14.01829,48.307564,2.9446256,6.994483,4.901836,
25.90098,13.245436,36.08703,0.737026,11.4436035,1.0271813,
2.8759177,1.7797331,9.662862,1.279146,7.3919554,2.7495391,
23.833181,0.8232121,28.979033,2.993287,6.20027,0.6414079,
7.0860147,13.385008,8.852795,22.753967,24.964552,37.18636,
0.85419196,0.7346771,27.183603,4.4761467,6.9575534,16.231867,
16.251102,51.50629,93.38814,0.21633147,1.3571258,7.188062,
3.824761,7.1220307,24.407473,1.8024069,24.745852,0.82674736,
37.33018,91.171455,5.367646,0.511503,8.572022,13.129963,
