Current Time,Inspector 1,Inspector 2,Buffer 1,Buffer 2,Buffer 3,Buffer 4,Buffer 5,Workstation 1,W1-C1,Workstation 2,W2-C1,W2-C2,Workstation 3,W3-C1,W3-C3,,,,,,,,
,,,,,,,,,,,,,,,,0,271.67,0,215.64,7198.22,773,199,178
0,INSPECTING,INSPECTING,0,0,0,0,0,BLOCKED,FALSE,BLOCKED,FALSE,FALSE,BLOCKED,FALSE,FALSE,0,,0,,,,,
12.09,INSPECTING,INSPECTING,0,0,0,0,0,WORKING,FALSE,BLOCKED,TRUE,FALSE,BLOCKED,FALSE,FALSE,0,,0,,,,,
18.97,INSPECTING,INSPECTING,0,0,0,0,0,WORKING,FALSE,WORKING,FALSE,FALSE,BLOCKED,FALSE,FALSE,0,,0,,,,,
21.4,INSPECTING,INSPECTING,1,1,0,0,0,WORKING,FALSE,WORKING,FALSE,FALSE,BLOCKED,FALSE,FALSE,0,,0,,,,,
24.26,INSPECTING,INSPECTING,0,1,0,0,0,WORKING,FALSE,WORKING,FALSE,FALSE,BLOCKED,FALSE,FALSE,0,,0,,,,,
25.47,INSPECTING,INSPECTING,0,1,1,0,0,WORKING,FALSE,WORKING,FALSE,FALSE,BLOCKED,FALSE,FALSE,0,,0,,,,,
26.01,INSPECTING,INSPECTING,0,0,0,0,0,WORKING,FALSE,WORKING,FALSE,FALSE,BLOCKED,FALSE,FALSE,0,,0,,,,,
28.37,INSPECTING,INSPECTING,0,0,0,0,0,BLOCKED,FALSE,WORKING,FALSE,FALSE,BLOCKED,FALSE,FALSE,0,,0,,,,,
28.82,INSPECTING,INSPECTING,0,0,0,0,0,BLOCKED,FALSE,BLOCKED,FALSE,FALSE,BLOCKED,FALSE,FALSE,0,,0,,,,,
29.71,INSPECTING,INSPECTING,0,0,0,0,0,WORKING,FALSE,BLOCKED,TRUE,FALSE,BLOCKED,FALSE,FALSE,0,,0,,,,,
30.93,INSPECTING,INSPECTING,1,1,0,0,0,WORKING,FALSE,BLOCKED,TRUE,FALSE,BLOCKED,FALSE,FALSE,0,,0,,,,,
35.43,INSPECTING,INSPECTING,2,2,0,0,0,WORKING,FALSE,BLOCKED,TRUE,FALSE,BLOCKED,FALSE,FALSE,0,,0,,,,,
42.82,INSPECTING,INSPECTING,1,2,0,0,0,WORKING,FALSE,BLOCKED,TRUE,FALSE,BLOCKED,FALSE,FALSE,0,,0,,,,,
46.45,INSPECTING,INSPECTING,0,2,0,0,0,WORKING,FALSE,BLOCKED,TRUE,FALSE,BLOCKED,FALSE,FALSE,0,,0,,,,,
46.64,INSPECTING,INSPECTING,0,2,0,0,0,BLOCKED,FALSE,BLOCKED,TRUE,FALSE,BLOCKED,FALSE,FALSE,0,,0,,,,,
51.62,INSPECTING,INSPECTING,1,2,0,0,0,WORKING,FALSE,BLOCKED,TRUE,FALSE,BLOCKED,FALSE,FALSE,0,,0,,,,,
51.67,INSPECTING,INSPECTING,0,2,0,0,0,WORKING,FALSE,BLOCKED,TRUE,FALSE,BLOCKED,FALSE,FALSE,0,,0,,,,,
57.09,INSPECTING,INSPECTING,2,2,0,0,0,WORKING,FALSE,BLOCKED,TRUE,FALSE,BLOCKED,FALSE,FALSE,0,,0,,,,,
59.6,INSPECTING,INSPECTING,2,2,0,0,0,WORKING,FALSE,WORKING,FALSE,FALSE,BLOCKED,FALSE,FALSE,0,,0,,,,,
62.49,INSPECTING,INSPECTING,1,2,0,0,0,WORKING,FALSE,WORKING,FALSE,FALSE,BLOCKED,FALSE,FALSE,0,,0,,,,,
62.59,INSPECTING,INSPECTING,1,2,0,0,0,WORKING,FALSE,WORKING,FALSE,FALSE,BLOCKED,FALSE,TRUE,0,,0,,,,,
68.18,INSPECTING,INSPECTING,0,2,0,0,0,WORKING,FALSE,WORKING,FALSE,FALSE,BLOCKED,FALSE,TRUE,0,,0,,,,,
72.19,INSPECTING,INSPECTING,0,2,0,0,0,BLOCKED,FALSE,WORKING,FALSE,FALSE,BLOCKED,FALSE,TRUE,0,,0,,,,,
84.54,INSPECTING,INSPECTING,0,2,1,0,0,BLOCKED,FALSE,WORKING,FALSE,FALSE,BLOCKED,FALSE,TRUE,0,,0,,,,,
84.68,INSPECTING,INSPECTING,0,2,2,0,0,BLOCKED,FALSE,WORKING,FALSE,FALSE,BLOCKED,FALSE,TRUE,0,,0,,,,,
90.32,INSPECTING,INSPECTING,0,1,1,0,0,BLOCKED,FALSE,WORKING,FALSE,FALSE,BLOCKED,FALSE,TRUE,0,,0,,,,,
94.65,INSPECTING,INSPECTING,0,0,0,0,0,BLOCKED,FALSE,WORKING,FALSE,FALSE,BLOCKED,FALSE,TRUE,0,,0,,,,,
94.9,INSPECTING,INSPECTING,0,0,0,0,0,WORKING,FALSE,WORKING,FALSE,FALSE,WORKING,FALSE,FALSE,0,,0,,,,,
95.79,INSPECTING,INSPECTING,0,0,0,0,0,WORKING,FALSE,BLOCKED,FALSE,FALSE,WORKING,FALSE,FALSE,0,,0,,,,,
96.42,INSPECTING,INSPECTING,0,0,0,0,0,BLOCKED,FALSE,BLOCKED,FALSE,FALSE,WORKING,FALSE,FALSE,0,,0,,,,,
102.82,INSPECTING,INSPECTING,0,0,0,1,0,WORKING,FALSE,BLOCKED,FALSE,FALSE,WORKING,FALSE,FALSE,0,,0,,,,,
103.04,INSPECTING,INSPECTING,0,0,0,1,0,BLOCKED,FALSE,BLOCKED,FALSE,FALSE,WORKING,FALSE,FALSE,0,,0,,,,,
104.78,INSPECTING,INSPECTING,0,0,0,0,0,BLOCKED,FALSE,BLOCKED,FALSE,FALSE,BLOCKED,TRUE,FALSE,0,,0,,,,,
108.96,INSPECTING,INSPECTING,0,0,0,0,0,BLOCKED,FALSE,BLOCKED,FALSE,FALSE,WORKING,FALSE,FALSE,0,,0,,,,,
109.52,INSPECTING,INSPECTING,0,0,0,1,0,WORKING,FALSE,BLOCKED,FALSE,FALSE,WORKING,FALSE,FALSE,0,,0,,,,,
111.44,INSPECTING,INSPECTING,0,0,0,1,0,BLOCKED,FALSE,BLOCKED,FALSE,FALSE,WORKING,FALSE,FALSE,0,,0,,,,,
115.79,INSPECTING,INSPECTING,0,0,0,1,1,BLOCKED,FALSE,BLOCKED,FALSE,FALSE,WORKING,FALSE,FALSE,0,,0,,,,,
121.83,INSPECTING,INSPECTING,0,0,0,1,1,BLOCKED,FALSE,BLOCKED,FALSE,TRUE,WORKING,FALSE,FALSE,0,,0,,,,,
135.11,INSPECTING,INSPECTING,0,0,0,1,1,WORKING,FALSE,WORKING,FALSE,FALSE,WORKING,FALSE,FALSE,0,,0,,,,,
135.57,INSPECTING,INSPECTING,0,0,0,0,0,WORKING,FALSE,WORKING,FALSE,FALSE,WORKING,FALSE,FALSE,0,,0,,,,,
138.36,INSPECTING,INSPECTING,0,0,0,0,1,WORKING,FALSE,WORKING,FALSE,FALSE,WORKING,FALSE,FALSE,0,,0,,,,,
139.55,INSPECTING,INSPECTING,1,1,0,0,1,WORKING,FALSE,WORKING,FALSE,FALSE,WORKING,FALSE,FALSE,0,,0,,,,,
139.96,INSPECTING,INSPECTING,0,1,0,0,1,WORKING,FALSE,WORKING,FALSE,FALSE,WORKING,FALSE,FALSE,0,,0,,,,,
140.02,INSPECTING,INSPECTING,0,0,0,0,1,WORKING,FALSE,BLOCKED,TRUE,FALSE,WORKING,FALSE,FALSE,0,,0,,,,,
140.27,INSPECTING,INSPECTING,0,0,0,0,0,WORKING,FALSE,BLOCKED,TRUE,FALSE,BLOCKED,FALSE,TRUE,0,,0,,,,,
141.91,INSPECTING,INSPECTING,1,0,0,0,0,WORKING,FALSE,BLOCKED,TRUE,FALSE,WORKING,FALSE,FALSE,0,,0,,,,,
141.94,INSPECTING,INSPECTING,0,0,0,0,0,WORKING,FALSE,BLOCKED,TRUE,FALSE,WORKING,FALSE,FALSE,0,,0,,,,,
147.36,INSPECTING,INSPECTING,0,0,0,0,0,WORKING,FALSE,BLOCKED,TRUE,FALSE,BLOCKED,FALSE,FALSE,0,,0,,,,,
149.1,INSPECTING,INSPECTING,0,0,0,0,0,WORKING,FALSE,WORKING,FALSE,FALSE,BLOCKED,FALSE,FALSE,0,,0,,,,,
150.58,INSPECTING,INSPECTING,0,0,0,0,0,WORKING,FALSE,BLOCKED,FALSE,FALSE,BLOCKED,FALSE,FALSE,0,,0,,,,,
