Inspector 1, Inspector 2C2, Inspector 2C3, Workstation 1,Workstation 2,Workstation 3 
26.507607,0.72969806,59.840393,0.13900767,9.203262,1.4065044,
6.100995,15.540521,1.3373973,4.9695325,21.783606,16.951967,
15.231644,7.432571,1.5882788,2.730547,3.700054,0.5833748,
15.003559,18.843233,13.819038,3.6434624,1.6508772,5.8941402,
4.698581,11.417735,16.504938,4.601229,8.591469,0.847463,
5.900956,35.303032,12.761716,2.0068073,20.040236,16.18031,
17.975847,5.8510656,3.4630313,1.2528447,16.23347,1.2318931,
6.6301174,42.857857,0.08036316,21.531195,6.961892,9.889086,
19.544119,10.476564,2.2161,5.7151303,3.0116732,26.837938,
2.1362166,2.1206644,36.07094,0.63761574,0.89870465,6.569355,
2.1265407,21.717638,41.050404,2.9922163,1.9981732,1.8250589,
2.6353512,8.784515,26.085814,8.853893,40.84781,13.905435,
10.836489,7.767508,1.409843,3.2445602,11.800365,2.3898592,
15.427669,6.875913,24.614805,1.4157027,2.039164,20.721107,
23.562353,1.8853961,39.413223,1.5341337,0.18808606,5.3235464,
0.07786569,7.473422,5.440707,1.1933272,3.8006074,1.5770943,
6.234586,2.1837747,16.129251,10.758168,11.740023,10.155403,
4.1541276,38.08724,22.371006,4.1347213,4.1932836,2.4677353,
26.582367,0.7070539,12.453349,0.7411383,6.4709935,6.241305,
4.0025806,16.953981,16.861576,4.911515,8.591341,10.666935,
5.980019,5.2094755,96.08896,3.3943737,17.020086,0.087664515,
39.253727,18.982613,10.298067,8.295075,3.5660214,2.5692747,
9.1371,15.241216,16.529854,3.7099144,7.3544817,7.574116,
2.4775224,6.393504,39.656944,6.2525496,2.0388725,5.0985126,
2.5637553,1.2386806,13.454926,0.8253466,17.625868,4.1946545,
21.719662,12.741617,8.093701,0.4864987,10.279729,8.248682,
1.3495673,2.4182293,1.0872806,0.8937409,1.5246866,8.05486,
9.385423,11.801077,6.8361564,6.9566646,17.228218,15.8067465,
3.2483099,34.422863,44.8026,0.8458002,9.938976,3.1507788,
9.90954,32.373825,2.2836308,4.413078,39.0955,7.2052794,
36.834167,30.006147,10.026229,1.3299114,46.50733,0.6113136,
0.5084963,89.5771,0.16260603,6.642746,4.3427663,17.57737,
1.9739637,46.616577,64.70187,4.9396634,2.7211528,0.575846,
11.3382,4.910073,38.449295,0.15027319,6.0280123,4.291538,
0.49352673,27.310854,25.521515,0.048316937,0.0512213,4.816425,
20.96006,21.519423,9.066784,1.0479461,0.5690225,7.1001396,
7.0532055,24.836235,37.023064,0.0026672764,20.90758,0.85097307,
9.99575,3.143686,21.485006,4.083036,6.7755,0.2999425,
0.6847715,14.475362,27.498724,4.97816,0.89816767,18.971607,
3.1666565,7.379414,27.357185,13.8503065,9.240508,1.2579181,
13.227217,3.2655056,21.709675,5.17496,32.95928,0.35861042,
6.0406785,37.87895,24.841536,4.319562,17.141329,4.183979,
11.2963505,34.357147,2.3308332,6.0787444,19.112837,12.48297,
4.5490923,38.911045,13.944415,0.81563973,4.2441382,9.109303,
4.65286,6.9308467,31.147606,6.607094,29.992409,3.2712622,
5.000228,4.8286076,5.5382853,1.978402,9.03307,44.12327,
17.304136,15.110393,30.49325,8.651405,4.9968023,0.058552172,
4.165806,3.783176,36.109432,14.45575,23.497305,5.228264,
8.416533,14.216114,19.398144,9.039761,22.878864,0.3058153,
12.055272,31.329815,13.770795,0.4194271,22.33911,12.089181,
11.903361,0.015050394,13.637929,1.0190487,33.20227,3.3056567,
7.7544775,1.6469216,9.052448,3.8591268,1.015468,4.959398,
6.317391,5.326831,32.491776,0.47073588,17.815718,7.7598124,
12.695162,8.172319,23.401945,3.82917,1.7425618,0.20062035,
27.13254,18.670307,20.33212,1.0889537,1.972837,2.4582908,
36.93308,27.543745,8.192787,0.49535096,1.5232924,13.165234,
2.6301372,22.97502,3.0991886,1.8637179,30.493305,1.4619267,
13.346548,13.616408,12.984844,4.819223,3.9804544,2.8367732,
25.391623,11.1899605,27.793394,4.9315677,7.2751555,32.944195,
15.396839,9.38866,17.730991,3.852916,4.953676,24.793407,
9.818073,7.558294,1.9016954,2.553331,45.09793,0.3259074,
4.146606,3.496869,27.076982,1.6922468,6.1133513,1.8523341,
0.5892968,7.939227,82.35036,7.6542897,11.242101,6.6436977,
8.064995,2.8567207,17.30513,3.6484733,11.376258,0.7283404,
6.662476,2.054652,13.769316,5.3537908,4.7192984,6.0067368,
15.574249,56.960583,11.429568,1.25612,4.603714,0.8127618,
17.483055,4.1783695,0.66755736,0.88292474,5.5087667,2.8229191,
5.5367365,5.1188293,25.569527,0.51144254,3.4670594,0.2642625,
18.067122,6.9317307,7.126075,1.620181,10.774731,6.437014,
11.651188,26.768705,8.940697,3.2706943,17.747135,15.259092,
0.48896408,0.77849495,26.063536,7.187702,31.244993,13.304405,
6.7461877,2.7366805,0.9289645,4.0876555,11.44345,0.7164017,
8.105918,0.47152293,19.203598,1.9673446,11.853601,11.260539,
26.29693,25.992737,5.029101,1.0901899,0.2483589,0.9349703,
3.8670363,4.3427305,14.946328,5.516653,13.853655,18.487658,
15.013908,36.13355,10.867911,3.2534232,29.210411,1.615572,
0.3986558,8.605963,43.17675,3.8345683,3.9118621,1.8825257,
16.941433,16.878073,17.647167,0.5007467,4.5271297,7.8001766,
0.38082045,14.175756,28.118567,4.701391,22.875044,0.29822147,
