Inspector 1, Inspector 2C2, Inspector 2C3, Workstation 1,Workstation 2,Workstation 3 
8.516523,2.7670813,0.5556363,2.5528233,18.489845,8.514794,
0.4092464,36.33675,8.018124,10.035893,9.540573,15.204054,
10.8992815,14.988628,4.8973565,3.9359717,6.4904847,17.569105,
1.528542,50.028984,2.4296587,6.3451867,17.432695,12.255794,
22.260834,29.921915,17.280743,2.7564867,9.966239,3.4060197,
8.605826,5.158887,9.51231,1.1808462,4.01275,22.741417,
7.0511026,6.480366,18.130167,2.4668348,26.543032,3.2022715,
8.231755,14.68169,15.975229,1.8319973,26.729927,1.8939615,
5.608225,0.23543191,36.007935,10.763052,30.413193,7.7750254,
10.044131,10.360553,15.444099,5.8733416,1.3193033,2.5970955,
3.0326173,3.1767201,20.558926,2.6591773,2.1379795,8.95122,
21.329542,12.297715,6.2481465,0.78761536,18.771122,4.0565567,
18.718376,19.731586,2.1903946,0.9622366,8.986926,6.7030644,
3.423832,19.90059,0.20725787,4.4628043,9.199342,21.22973,
6.4457045,32.106422,67.22276,4.944762,11.526367,1.0219213,
11.30483,20.917906,6.4600925,1.9666235,3.0139842,9.692392,
1.3584404,21.386724,11.075249,12.340449,0.28329465,2.4949663,
17.426096,13.573929,22.41663,2.6079671,9.2869835,0.8380549,
12.658034,10.432878,5.5184383,4.4434075,7.2687902,0.66358477,
12.021475,1.9026699,10.437724,16.91587,6.713703,3.1932483,
4.227544,11.741847,11.178193,14.587427,0.1620588,40.49352,
8.462539,26.072474,47.061115,0.6491121,11.073755,17.768587,
7.382812,5.4973497,21.883753,9.890492,19.841137,1.64157,
5.1420746,16.930223,26.659895,1.5478768,21.939667,23.850014,
12.058321,34.436325,68.73158,0.18085381,18.696661,8.200862,
8.319545,21.48526,7.496086,2.7955728,19.25055,54.220505,
33.239223,21.645329,9.027841,3.4037588,10.618553,9.941748,
9.516477,4.62991,67.23735,2.5161514,2.3942065,11.423211,
7.569676,10.648456,1.7369169,2.893751,29.850586,6.815799,
4.2331166,17.438702,6.294953,8.113669,15.556442,9.121892,
