Inspector 1, Inspector 2C2, Inspector 2C3, Workstation 1,Workstation 2,Workstation 3 
9.317185,28.845835,27.085512,2.2692242,19.174278,1.8886248,
7.6747017,25.050003,5.5928974,23.272722,0.678344,0.3991646,
6.714949,0.93484586,18.186329,1.2458514,2.917968,3.3082695,
10.434839,11.403934,5.5028057,15.030018,2.9251962,6.123123,
8.993915,9.476335,6.98868,0.1371986,4.0934424,3.1614354,
8.01471,4.14427,27.45178,3.0783951,0.3627692,14.135345,
32.23667,1.0250367,15.483423,2.1241527,8.738406,1.0429866,
7.799524,4.3342543,37.957615,1.3971603,4.11416,8.9026165,
3.883193,0.21558169,12.64184,19.199102,1.8494301,5.360445,
25.245314,35.775085,22.959705,0.68468004,5.949943,22.254618,
16.763422,0.8685557,50.55513,5.400343,15.030533,23.103598,
6.57272,2.9312143,12.001616,3.4861557,10.333313,11.4591465,
7.726044,8.482335,8.2857,2.5442765,7.760149,15.437553,
3.0892973,0.070120856,4.0733943,6.3910923,10.654537,11.08563,
7.0913806,19.453226,48.703854,3.8251352,12.905797,2.652586,
6.4607196,5.365613,18.092768,0.54825705,9.539354,3.5034535,
0.6821902,28.740698,29.892616,0.8554341,25.616402,0.55923945,
12.492444,2.8810744,11.08272,3.7415323,4.653422,9.051721,
10.395664,8.022532,1.493668,4.095584,7.013686,0.7073656,
7.406621,24.424343,31.027576,8.907873,8.172015,2.0633106,
1.0643686,32.46557,4.794375,1.0958856,1.7972308,4.620586,
15.026788,18.075562,0.57596016,2.981995,18.761189,27.793388,
0.4573954,4.4649787,21.397213,0.25552338,16.644436,0.2805103,
5.142054,5.5485134,7.631261,0.23905891,1.5933242,17.97028,
1.6885769,3.7849896,27.933624,16.818796,16.486214,6.7585125,
8.178841,7.7535963,16.955833,1.4869593,1.7081357,1.6308707,
3.3439991,11.9269495,34.20693,4.5944033,7.343846,16.599966,
13.014004,10.314448,44.17858,8.847038,1.5262578,1.8536803,
1.0707753,27.669806,7.5122466,0.3473462,12.328743,3.0580292,
15.00302,14.792437,20.225327,1.3417982,4.2940903,1.7088084,
0.14336208,21.284838,6.7587934,13.504431,25.73921,3.8574836,
1.5975821,1.0553079,16.523708,3.1881657,2.6383662,8.040899,
0.23805112,25.991282,13.277407,0.1670251,5.046314,26.962696,
9.063976,4.927269,28.459501,1.6396185,14.30366,
10.323346,2.2434156,,2.9498641,16.024002,
10.606627,39.36859,,2.3542495,11.103959,
0.9315397,1.5206591,,1.8241739,21.994938,
13.459727,0.21914189,,0.87935686,17.509531,
5.285087,6.1053433,,4.8805423,5.5981317,
25.167442,8.973004,,1.7475296,14.145438,
24.159653,8.477231,,7.480584,4.3527317,
1.1357442,6.417854,,0.06364214,7.872781,
4.5004187,4.3633637,,17.966305,19.22731,
27.448406,18.847288,,2.9945202,15.287383,
9.612748,8.788875,,8.145129,,
1.911698,,,5.6263905,,
10.647283,,,1.7568537,,
1.9746988,,,2.119264,,
0.622399,,,6.1310434,,
12.394617,,,3.0928588,,
8.366362,,,10.447188,,
43.54737,,,2.0314622,,
1.7740449,,,1.9712853,,
14.190462,,,2.0367603,,
1.4007882,,,0.24337126,,
4.5479765,,,8.281614,,
9.06891,,,2.3764024,,
8.330603,,,4.6007323,,
3.454582,,,9.697249,,
20.165335,,,4.431804,,
16.796106,,,7.9667373,,
4.3889704,,,6.6857824,,
6.013782,,,0.5097561,,
16.667887,,,0.807172,,
22.210926,,,7.982314,,
15.244587,,,4.8649964,,
18.215351,,,3.8563015,,
8.342237,,,3.8096616,,
0.5922878,,,4.5395417,,
3.5576334,,,4.6813846,,
3.0188954,,,18.3856,,
6.196609,,,0.60247695,,
0.99669605,,,0.8908886,,
0.67807496,,,1.6283767,,
2.7500918,,,1.2873797,,
3.8907754,,,2.9126232,,
17.580456,,,3.6920166,,
9.545349,,,9.066855,,
4.308388,,,0.30351794,,
1.8848951,,,3.6453743,,
5.884084,,,0.6828993,,
0.35688892,,,6.0859985,,
2.4932413,,,3.2825062,,
15.88965,,,1.8319789,,
3.4845552,,,4.7150593,,
21.819792,,,9.110243,,
29.748283,,,2.2074728,,
11.085507,,,0.93400085,,
0.0058402047,,,3.926842,,
6.020767,,,9.515206,,
21.453197,,,3.0695856,,
7.5784855,,,0.30936638,,
3.685876,,,1.5675393,,
20.438906,,,0.52665967,,
2.939952,,,9.495491,,
11.624048,,,7.5082245,,
10.757367,,,0.6010373,,
