Current Time,Inspector 1,Inspector 2,Buffer 1,Buffer 2,Buffer 3,Buffer 4,Buffer 5,Workstation 1,W1-C1,Workstation 2,W2-C1,W2-C2,Workstation 3,W3-C1,W3-C3 ,INSP1 B,Total,INSP2 B,Total,Total,C1,C2,C3,Total
0,INSCPECTING,INSCPECTING,0,0,0,0,0,BLOCKED,FALSE,BLOCKED,FALSE,FALSE,BLOCKED,FALSE,FALSE,0,0,0,5296.64,7189.94,617,40,41,698
0.27,INSCPECTING,INSCPECTING,0,0,0,0,0,BLOCKED,FALSE,BLOCKED,FALSE,TRUE,BLOCKED,FALSE,FALSE,0,,0,,,,,,
1.84,INSCPECTING,INSCPECTING,0,0,1,0,0,BLOCKED,FALSE,BLOCKED,FALSE,TRUE,BLOCKED,FALSE,FALSE,0,,0,,,,,,
2.68,INSCPECTING,INSCPECTING,0,0,1,0,0,WORKING,FALSE,BLOCKED,FALSE,TRUE,BLOCKED,FALSE,FALSE,0,,0,,,,,,
6.95,INSCPECTING,INSCPECTING,0,0,1,0,0,BLOCKED,FALSE,BLOCKED,FALSE,TRUE,BLOCKED,FALSE,FALSE,0,,0,,,,,,
9.76,INSCPECTING,INSCPECTING,0,0,1,0,0,WORKING,FALSE,BLOCKED,FALSE,TRUE,BLOCKED,FALSE,FALSE,0,,0,,,,,,
14.65,INSCPECTING,INSCPECTING,1,0,1,0,0,WORKING,FALSE,BLOCKED,FALSE,TRUE,BLOCKED,FALSE,FALSE,0,,0,,,,,,
17.19,INSCPECTING,INSCPECTING,0,0,1,0,0,WORKING,FALSE,BLOCKED,FALSE,TRUE,BLOCKED,FALSE,FALSE,0,,0,,,,,,
21.96,INSCPECTING,INSCPECTING,0,0,1,0,0,BLOCKED,FALSE,BLOCKED,FALSE,TRUE,BLOCKED,FALSE,FALSE,0,,0,,,,,,
23.81,INSCPECTING,INSCPECTING,0,0,1,0,0,WORKING,FALSE,BLOCKED,FALSE,TRUE,BLOCKED,FALSE,FALSE,0,,0,,,,,,
27.75,INSCPECTING,INSCPECTING,0,0,1,0,0,BLOCKED,FALSE,BLOCKED,FALSE,TRUE,BLOCKED,FALSE,FALSE,0,,0,,,,,,
35.29,INSCPECTING,INSCPECTING,0,0,1,0,0,BLOCKED,FALSE,BLOCKED,FALSE,TRUE,BLOCKED,FALSE,TRUE,0,,0,,,,,,
38.21,INSCPECTING,INSCPECTING,0,0,1,0,0,WORKING,FALSE,BLOCKED,FALSE,TRUE,BLOCKED,FALSE,TRUE,0,,0,,,,,,
39.88,INSCPECTING,INSCPECTING,0,0,1,0,0,BLOCKED,FALSE,BLOCKED,FALSE,TRUE,BLOCKED,FALSE,TRUE,0,,0,,,,,,
47.17,INSCPECTING,INSCPECTING,0,0,1,0,0,WORKING,FALSE,BLOCKED,FALSE,TRUE,BLOCKED,FALSE,TRUE,0,,0,,,,,,
48.19,INSCPECTING,INSCPECTING,0,0,1,0,0,BLOCKED,FALSE,BLOCKED,FALSE,TRUE,BLOCKED,FALSE,TRUE,0,,0,,,,,,
52.71,INSCPECTING,INSCPECTING,0,0,2,0,0,BLOCKED,FALSE,BLOCKED,FALSE,TRUE,BLOCKED,FALSE,TRUE,0,,0,,,,,,
54.37,INSCPECTING,BLOCKED,0,0,2,0,0,BLOCKED,FALSE,BLOCKED,FALSE,TRUE,BLOCKED,FALSE,TRUE,0,,11.15,,,,,,
65.52,INSCPECTING,BLOCKED,0,0,2,0,0,WORKING,FALSE,BLOCKED,FALSE,TRUE,BLOCKED,FALSE,TRUE,0,,2.09,,,,,,
67.61,INSCPECTING,BLOCKED,0,0,2,0,0,BLOCKED,FALSE,BLOCKED,FALSE,TRUE,BLOCKED,FALSE,TRUE,0,,12.2,,,,,,
79.81,INSCPECTING,BLOCKED,0,0,2,0,0,WORKING,FALSE,BLOCKED,FALSE,TRUE,BLOCKED,FALSE,TRUE,0,,6.07,,,,,,
85.88,INSCPECTING,BLOCKED,0,0,2,0,0,BLOCKED,FALSE,BLOCKED,FALSE,TRUE,BLOCKED,FALSE,TRUE,0,,8.15,,,,,,
94.03,INSCPECTING,BLOCKED,0,0,2,0,0,WORKING,FALSE,BLOCKED,FALSE,TRUE,BLOCKED,FALSE,TRUE,0,,7.7,,,,,,
101.73,INSCPECTING,BLOCKED,1,0,2,0,0,WORKING,FALSE,BLOCKED,FALSE,TRUE,BLOCKED,FALSE,TRUE,0,,0.44,,,,,,
102.17,INSCPECTING,BLOCKED,0,0,2,0,0,WORKING,FALSE,BLOCKED,FALSE,TRUE,BLOCKED,FALSE,TRUE,0,,0.46,,,,,,
102.63,INSCPECTING,BLOCKED,0,0,2,0,0,BLOCKED,FALSE,BLOCKED,FALSE,TRUE,BLOCKED,FALSE,TRUE,0,,4.81,,,,,,
107.44,INSCPECTING,BLOCKED,0,0,2,0,0,WORKING,FALSE,BLOCKED,FALSE,TRUE,BLOCKED,FALSE,TRUE,0,,3.54,,,,,,
110.98,INSCPECTING,BLOCKED,0,0,2,0,0,BLOCKED,FALSE,BLOCKED,FALSE,TRUE,BLOCKED,FALSE,TRUE,0,,24.16,,,,,,
135.14,INSCPECTING,BLOCKED,0,0,2,0,0,WORKING,FALSE,BLOCKED,FALSE,TRUE,BLOCKED,FALSE,TRUE,0,,0.56,,,,,,
135.7,INSCPECTING,BLOCKED,0,0,2,0,0,BLOCKED,FALSE,BLOCKED,FALSE,TRUE,BLOCKED,FALSE,TRUE,0,,1.53,,,,,,
137.23,INSCPECTING,BLOCKED,0,0,2,0,0,WORKING,FALSE,BLOCKED,FALSE,TRUE,BLOCKED,FALSE,TRUE,0,,0.14,,,,,,
137.37,INSCPECTING,BLOCKED,0,0,2,0,0,BLOCKED,FALSE,BLOCKED,FALSE,TRUE,BLOCKED,FALSE,TRUE,0,,2.49,,,,,,
139.86,INSCPECTING,BLOCKED,0,0,2,0,0,WORKING,FALSE,BLOCKED,FALSE,TRUE,BLOCKED,FALSE,TRUE,0,,1.18,,,,,,
