Inspector 1, Inspector 2C2, Inspector 2C3, Workstation 1,Workstation 2,Workstation 3 
2.2843895,19.50328,55.097942,12.328039,6.0126195,0.25093928,
11.482955,13.491609,12.960573,0.3556352,0.6738663,1.8115721,
17.694307,1.7496778,7.080392,3.4017813,17.783451,6.684203,
1.7914417,3.7527945,19.608109,0.8638074,7.063961,3.1191068,
2.5017924,4.865224,12.932059,0.10281708,1.5125891,3.351928,
12.172245,10.074388,39.94294,2.1015027,6.410663,5.2624426,
38.779957,34.31639,15.536297,8.105099,27.61956,9.795833,
5.5471034,23.10722,22.903662,9.081429,62.436523,38.476124,
35.678303,62.94472,16.402494,1.2587013,2.324333,19.454866,
9.823197,7.648678,3.464611,8.693259,5.002298,11.006833,
15.918892,32.95221,18.537216,0.17714916,1.1176925,0.4951379,
4.7801104,5.1876845,0.6252304,3.7664337,0.16741322,53.31397,
5.132421,44.386402,39.66774,1.9222363,24.556475,1.2160803,
1.8103353,17.730751,48.31522,1.0160831,0.7816088,12.904003,
4.4082613,21.128609,10.05143,0.33057132,2.1629674,9.322453,
8.651004,10.355654,48.627396,9.2992,3.8256388,7.673879,
8.427698,4.250898,2.2596085,0.46470568,11.860674,5.096737,
15.27106,22.836422,26.362513,3.1792603,8.088828,3.4189556,
35.681202,9.131491,102.67802,2.1417124,0.5493717,6.198177,
6.743938,30.714365,7.337937,4.700257,6.2916102,7.4578595,
12.755461,2.5985863,37.500553,3.6261337,13.963773,22.842894,
4.3430552,16.74744,12.74382,2.4312046,10.289701,19.369617,
8.074807,1.590706,10.196302,3.3801575,6.718013,5.1627336,
0.0029422315,19.028923,11.356162,1.1508005,28.055143,17.561087,
18.746758,17.299412,11.134939,14.016274,12.717735,12.368841,
8.262774,55.834602,35.476166,3.5918784,1.9946295,9.240507,
7.1604686,41.895626,17.530737,5.3180766,5.719689,21.563692,
0.8396534,5.955256,23.49139,0.6169722,10.690222,6.542594,
3.8699899,39.77456,31.418404,8.654878,2.4464564,0.09493185,
19.877817,1.5931108,0.32217494,8.504902,2.6345768,5.973348,
20.72635,9.818107,28.140364,28.667843,1.8883798,20.6152,
1.0155923,12.498014,14.402102,3.2485626,5.757189,26.97604,
37.68217,5.7387834,7.073597,2.59278,9.410137,0.24174303,
6.737245,4.649419,14.423213,0.71275425,10.277015,
7.0670786,3.6257443,18.854187,0.49912015,27.877098,
0.7175765,11.9345875,,13.195467,0.07908489,
4.228283,2.4367442,,1.2146927,2.5068555,
1.240804,8.214288,,15.49416,1.546922,
23.918226,0.841555,,1.3898032,15.294432,
9.122172,15.565615,,7.0717325,58.677757,
6.5402246,39.206913,,4.909994,19.191702,
1.8541207,3.1592114,,3.1521225,23.806532,
37.702328,8.182713,,13.684198,30.028059,
4.1255636,20.473759,,6.2066517,5.975766,
20.069094,9.799205,,0.969077,9.7824,
2.8317468,24.900665,,8.87362,1.5845727,
0.39160055,27.970955,,3.0302682,39.00529,
1.408884,3.256537,,4.3382106,,
13.322722,10.061167,,3.6032424,,
22.78565,15.147004,,1.4459738,,
41.559654,20.811768,,9.484512,,
10.502805,,,4.561303,,
0.77713734,,,0.9270787,,
9.960748,,,2.4246044,,
24.334734,,,1.4783105,,
10.133869,,,8.41853,,
21.71116,,,1.0728356,,
0.18102644,,,2.841337,,
16.149345,,,2.0408647,,
13.913038,,,2.033654,,
7.292698,,,5.2176714,,
11.2466955,,,4.681069,,
1.2540932,,,0.016785128,,
27.805584,,,1.1592594,,
13.619931,,,3.7764993,,
17.346392,,,20.259045,,
36.729534,,,4.213353,,
12.401214,,,2.520101,,
6.3452024,,,11.724374,,
0.8981918,,,8.495359,,
16.00494,,,14.472837,,
4.353608,,,2.5866206,,
1.2863983,,,4.2674437,,
2.2383723,,,0.8700508,,
2.171499,,,3.9484296,,
40.31809,,,2.4338849,,
2.6640487,,,25.255152,,
14.369265,,,7.2608323,,
0.69629204,,,3.7815423,,
26.18845,,,7.756522,,
17.33687,,,0.33893177,,
4.083172,,,5.611183,,
10.477044,,,1.967879,,
4.1847434,,,0.68555874,,
11.791171,,,1.1899186,,
44.418846,,,2.892905,,
0.9291063,,,1.825614,,
0.49945506,,,8.368768,,
4.14651,,,4.640125,,
16.196062,,,11.241679,,
3.6277354,,,0.67231995,,
4.3358717,,,8.587914,,
15.0103,,,4.0472817,,
18.02283,,,3.811427,,
15.866619,,,3.7744324,,
10.290083,,,4.9147625,,
4.492061,,,1.4465892,,
5.77776,,,0.31951332,,
6.94096,,,4.3677335,,
8.557909,,,12.891986,,
3.992445,,,2.2437372,,
6.28776,,,19.258575,,
4.8166475,,,19.055176,,
1.4419303,,,12.615629,,
6.675898,,,0.59155315,,
11.884784,,,0.4047224,,
9.122376,,,0.32907125,,
4.865822,,,2.4777565,,
2.0966623,,,2.5719063,,
13.346096,,,3.4478211,,
5.5897136,,,3.6151989,,
1.1672602,,,2.8968549,,
0.99005306,,,6.1716676,,
9.369319,,,2.1642797,,
2.892509,,,5.156676,,
2.3088956,,,1.1726775,,
1.3216287,,,3.2355185,,
1.9363686,,,2.4239175,,
1.1083467,,,2.4076893,,
1.5285062,,,5.019006,,
15.51871,,,3.6677265,,
3.1320472,,,4.611093,,
1.3948727,,,15.0298605,,
4.6835933,,,2.7385108,,
4.8506536,,,1.306889,,
11.284508,,,7.930039,,
7.4720793,,,17.129591,,
25.72166,,,2.898557,,
5.976417,,,0.39081433,,
16.879457,,,0.8548479,,
14.121235,,,12.418861,,
18.853737,,,1.2568749,,
20.595467,,,1.5462328,,
3.2728724,,,2.7104905,,
11.649858,,,1.1468306,,
34.875225,,,4.513634,,
12.053481,,,5.3973713,,
8.57013,,,11.683689,,
18.74576,,,6.2296534,,
2.1041741,,,18.90497,,
0.31191516,,,9.536475,,
7.0270166,,,10.9431925,,
6.156069,,,0.30095804,,
14.1362505,,,5.552173,,
6.6100655,,,1.9968688,,
3.9393418,,,2.904043,,
8.637177,,,10.86746,,
5.0176277,,,0.9297201,,
2.7967138,,,2.1457536,,
7.2169147,,,1.9254951,,
7.6643324,,,6.6710553,,
0.43801337,,,3.5734904,,
25.366777,,,3.281198,,
43.09355,,,2.2005582,,
16.11267,,,1.2013963,,
16.732656,,,0.013403331,,
3.6417966,,,1.6948836,,
6.882685,,,5.1137056,,
3.830392,,,2.0485964,,
3.68678,,,1.3306037,,
8.339028,,,16.397734,,
3.728633,,,8.981183,,
12.48703,,,1.5545928,,
3.486538,,,2.3751836,,
3.3114285,,,0.93498725,,
9.718632,,,9.4720545,,
16.114296,,,0.44628677,,
0.72974706,,,0.31910297,,
15.839462,,,2.8149035,,
7.3764157,,,0.1642504,,
3.8332465,,,1.3672972,,
6.215497,,,0.7794463,,
1.0276685,,,5.889879,,
7.708769,,,2.1888506,,
2.4965963,,,4.341925,,
45.77596,,,5.9009233,,
2.5717182,,,4.159257,,
1.0543554,,,2.4729583,,
6.2435646,,,1.322968,,
4.5690813,,,14.558483,,
13.730229,,,8.592168,,
13.137879,,,8.277377,,
30.014465,,,1.1971207,,
11.804442,,,1.1706411,,
0.16745165,,,14.4358425,,
1.5132312,,,6.291164,,
5.070402,,,9.890471,,
3.2737143,,,0.9102638,,
18.685368,,,2.559413,,
3.7616637,,,6.695089,,
13.873578,,,0.44489968,,
8.810053,,,0.5081775,,
15.451518,,,0.5568966,,
10.997378,,,0.8159638,,
5.8388777,,,11.0946,,
19.466274,,,4.4925523,,
7.818874,,,4.528772,,
2.3991315,,,1.2271899,,
5.2844105,,,1.7912661,,
1.0536186,,,2.477381,,
11.6312685,,,5.0176787,,
28.390629,,,6.25803,,
11.176092,,,0.071754,,
25.280716,,,13.24908,,
0.17330168,,,3.7612016,,
26.228111,,,1.5818977,,
25.095798,,,2.365037,,
15.711076,,,10.348034,,
13.909219,,,6.514942,,
7.3453536,,,3.43691,,
3.3485882,,,4.3236103,,
1.9317118,,,0.7329695,,
0.47591588,,,0.023991497,,
3.5872605,,,0.22445977,,
28.365412,,,0.09280289,,
9.817283,,,7.5120807,,
19.532373,,,8.096961,,
27.277014,,,7.939636,,
42.263714,,,2.8801641,,
5.593399,,,7.4924912,,
26.609673,,,28.532963,,
37.557384,,,1.7500503,,
44.569572,,,2.7519033,,
8.812368,,,0.46221876,,
0.92547977,,,17.127077,,
3.6138473,,,0.09104854,,
7.4383564,,,2.6914268,,
5.7681813,,,1.7024099,,
34.375595,,,1.3837,,
4.715096,,,1.1360428,,
8.051421,,,0.9652895,,
7.500666,,,3.459773,,
4.5834947,,,7.8769736,,
12.713493,,,1.3126327,,
4.352951,,,1.264223,,
4.7973313,,,5.430112,,
5.620981,,,7.097988,,
0.5428312,,,6.7781024,,
26.073538,,,0.60726357,,
8.201456,,,2.886911,,
27.280882,,,3.9188616,,
10.852479,,,0.5137196,,
10.982559,,,1.0439724,,
10.665218,,,0.4524479,,
32.649143,,,1.0735823,,
15.737935,,,1.5747544,,
34.710423,,,8.203844,,
15.360298,,,0.052363157,,
7.7317133,,,4.9255924,,
7.0820165,,,1.3436985,,
10.364919,,,4.3793783,,
1.4211671,,,0.70858395,,
8.324751,,,0.2007318,,
2.4991689,,,3.600421,,
3.2194185,,,8.847013,,
11.783713,,,0.6638547,,
0.7998765,,,1.4524904,,
0.35521993,,,14.442751,,
6.361734,,,4.7867317,,
4.587269,,,0.18165854,,
4.196268,,,3.186208,,
10.228315,,,7.951137,,
0.79034823,,,7.4110007,,
8.897592,,,2.021874,,
17.151947,,,0.4984274,,
0.7641685,,,5.2774024,,
8.075335,,,1.3952054,,
10.18035,,,0.814865,,
6.526878,,,0.792825,,
20.07107,,,4.8267965,,
31.30614,,,0.32430452,,
4.9354987,,,2.8297167,,
9.900594,,,5.01898,,
16.803255,,,3.9977796,,
35.22979,,,6.603216,,
40.39173,,,3.8337183,,
7.3517327,,,4.010331,,
12.736322,,,3.2577608,,
17.611042,,,5.101591,,
8.975223,,,3.8629572,,
18.116886,,,4.857028,,
14.010286,,,0.73330486,,
9.078417,,,3.301068,,
0.6538907,,,4.918685,,
18.908615,,,6.599159,,
0.57258666,,,14.140977,,
0.90971714,,,1.3871069,,
8.564721,,,6.334143,,
6.6310506,,,1.4202965,,
8.713255,,,3.402168,,
12.44522,,,2.7595525,,
0.53341484,,,8.620685,,
24.493938,,,1.2377821,,
13.64029,,,4.4331603,,
5.3467536,,,9.531976,,
5.7807856,,,0.57027775,,
0.9213113,,,3.1154416,,
3.698459,,,6.795648,,
0.14088786,,,3.2085152,,
6.583262,,,7.994612,,
17.71928,,,6.050015,,
3.5506072,,,14.056731,,
17.138817,,,0.7633087,,
2.5601752,,,1.0679549,,
8.591987,,,0.40856624,,
11.672284,,,0.5458176,,
1.9597433,,,7.294584,,
4.076436,,,3.449303,,
10.4524555,,,1.7571455,,
6.566387,,,1.0829916,,
40.485138,,,14.197601,,
25.110165,,,0.28302118,,
6.129815,,,1.3400557,,
11.005491,,,2.088624,,
1.6629701,,,7.0044727,,
38.79518,,,5.7426963,,
2.667172,,,1.389003,,
1.7822385,,,11.852671,,
19.854404,,,0.964106,,
11.692135,,,1.3482457,,
0.10140421,,,13.30924,,
4.231933,,,15.386104,,
9.401357,,,7.901554,,
4.0698705,,,1.9949214,,
0.6092295,,,0.40531456,,
4.477322,,,1.0970985,,
26.08677,,,3.5400417,,
18.863811,,,6.320439,,
1.2900681,,,0.61671084,,
8.271005,,,4.4669814,,
4.602335,,,4.955446,,
2.8227122,,,9.398165,,
6.2760453,,,6.1229534,,
5.7196636,,,2.7186613,,
2.872589,,,1.8369627,,
