Inspector 1, Inspector 2C2, Inspector 2C3, Workstation 1,Workstation 2,Workstation 3 
26.0782,31.015385,23.272848,0.11540788,1.1904109,4.027572,
14.575509,27.476856,7.2635775,2.351898,9.822851,10.176955,
3.446097,13.956647,19.704191,0.95686656,5.4839983,0.6956749,
49.086548,4.612051,6.0646605,2.0712252,3.7330995,0.16328,
1.384758,17.835167,5.5265164,1.6763844,19.474106,1.2480499,
1.2619656,22.388378,6.8702984,11.072263,19.694468,1.5097473,
29.873146,13.189422,23.208319,0.57883394,1.0372593,2.177101,
0.5774324,0.7171988,28.233381,9.925621,38.076725,4.597571,
20.06285,2.5545437,6.200526,2.4094489,1.0095152,11.905185,
6.143965,8.394455,90.69733,5.2394333,0.059494726,0.96457815,
4.3206964,1.4916152,27.42129,4.487617,7.628169,32.489273,
14.671816,40.606853,60.759357,0.85344476,17.350218,2.367184,
0.2713229,12.955325,28.150333,1.2501895,1.2221028,1.7246473,
4.7994885,2.6510513,12.582003,1.5843637,14.041424,5.1201315,
7.958021,52.89089,27.584223,1.1657557,0.055271856,9.4481945,
11.383807,31.93073,10.66228,0.28106713,7.0266366,0.77037597,
1.2898961,22.254587,29.760666,0.8311623,17.771246,6.68059,
3.7989197,1.637029,68.24907,10.029144,1.1667053,15.872151,
0.042491753,16.060284,16.550472,0.29585359,41.995846,13.089774,
16.243893,21.062439,19.860622,0.47591174,5.652021,3.4880807,
9.454878,34.6181,7.842729,1.7325319,3.7654963,6.9362817,
3.7540507,25.510948,15.193289,11.7651415,7.5827284,8.359478,
4.654862,21.135517,91.135956,3.663335,5.195363,12.279815,
2.917714,22.063637,82.1643,5.5751405,14.350813,3.0059073,
4.67203,3.387089,20.153044,2.8872156,42.15224,2.0906565,
3.9648364,2.8625083,27.709085,4.880687,4.349949,2.1495383,
33.625862,25.479792,33.7177,12.355273,3.9476333,0.37533072,
7.5268865,9.2053795,21.288534,18.983812,39.841503,8.6964445,
7.814215,17.17555,41.055134,2.7485015,50.80502,23.91549,
0.6613777,6.1429195,31.005827,3.090053,18.711475,3.6393223,
3.1554286,6.3396072,72.83463,3.5878062,3.4611838,6.367185,
0.83663964,0.6816954,14.350759,3.6325848,0.12608443,10.007734,
14.991989,10.483224,10.227075,5.8207893,10.735381,0.043538112,
9.146458,22.37721,28.616085,2.9273717,27.117386,18.683046,
17.067066,2.6321192,11.301266,16.165094,0.37530184,16.797825,
12.064283,33.767437,4.1513667,9.652303,0.5194299,2.563391,
2.5323582,12.197405,28.24558,2.9303887,17.19452,0.62433666,
2.208718,84.218636,8.807895,3.3156233,17.459528,6.622278,
12.196884,6.2043,1.7825334,15.760916,12.6807375,6.958008,
16.217592,6.0633187,14.629391,3.6169894,37.77891,1.3453356,
9.965907,11.335306,24.669924,13.87313,8.855254,
10.13469,0.7364763,8.182396,8.967218,9.452124,
25.446974,20.420034,13.974795,0.7169921,52.942043,
15.838197,6.2524514,14.546316,0.36813167,1.4747307,
5.299234,7.695606,,0.83405274,2.9407458,
11.360603,3.4743884,,2.03995,25.133068,
3.0293076,30.542505,,6.913097,5.9879947,
10.802016,37.312267,,9.064732,28.020216,
24.458326,9.130744,,4.4823403,26.389345,
1.0462143,0.04339514,,0.26086444,6.228312,
0.82684684,10.0252905,,0.33564386,12.723766,
6.7848706,4.6756163,,1.0999153,9.929698,
6.547054,5.1164217,,1.6451699,12.855943,
2.9011674,13.191491,,2.4585836,6.1717377,
1.1938393,5.497281,,15.845542,11.268639,
5.8342032,11.419975,,0.1482488,0.43279412,
1.787788,4.8797903,,10.996818,,
3.924715,13.765499,,0.49678665,,
17.291185,,,1.308487,,
8.51678,,,3.872954,,
0.12174252,,,0.22967458,,
15.833839,,,1.4035575,,
0.23994775,,,4.716274,,
5.03716,,,1.0469246,,
2.5686915,,,3.8651118,,
1.2544271,,,2.4012702,,
6.358605,,,4.4441075,,
6.37862,,,0.37924966,,
