Current Time,Inspector 1,Inspector 2,Buffer 1,Buffer 2,Buffer 3,Buffer 4,Buffer 5,Workstation 1,W1-C1,Workstation 2,W2-C1,W2-C2,Workstation 3,W3-C1,W3-C3 
0,INSCPECTING,INSCPECTING,0,0,0,0,0,BLOCKED,false,BLOCKED,false,false,BLOCKED,false,false
2.51,INSCPECTING,INSCPECTING,0,0,0,0,0,WORKING,false,BLOCKED,false,false,BLOCKED,false,false
4.77,INSCPECTING,INSCPECTING,1,0,0,0,0,WORKING,false,BLOCKED,false,false,BLOCKED,false,false
4.94,INSCPECTING,INSCPECTING,1,0,0,0,0,WORKING,false,BLOCKED,false,false,BLOCKED,false,true
8.87,INSCPECTING,INSCPECTING,1,0,0,0,0,WORKING,false,BLOCKED,true,false,BLOCKED,false,true
9.11,INSCPECTING,INSCPECTING,1,1,0,0,0,WORKING,false,BLOCKED,true,false,BLOCKED,false,true
12.07,INSCPECTING,INSCPECTING,1,1,0,0,0,WORKING,false,BLOCKED,true,false,WORKING,false,false
12.97,INSCPECTING,INSCPECTING,1,1,0,1,0,WORKING,false,BLOCKED,true,false,WORKING,false,false
15.77,INSCPECTING,INSCPECTING,2,1,0,1,0,WORKING,false,BLOCKED,true,false,WORKING,false,false
17.13,INSCPECTING,INSCPECTING,1,1,0,1,0,WORKING,false,BLOCKED,true,false,WORKING,false,false
17.33,INSCPECTING,INSCPECTING,2,1,0,1,0,WORKING,false,BLOCKED,true,false,WORKING,false,false
21.51,INSCPECTING,INSCPECTING,2,1,0,1,1,WORKING,false,BLOCKED,true,false,WORKING,false,false
21.66,INSCPECTING,INSCPECTING,2,1,0,0,0,WORKING,false,BLOCKED,true,false,WORKING,false,false
25.8,INSCPECTING,INSCPECTING,2,1,0,0,0,WORKING,false,BLOCKED,true,false,BLOCKED,false,false
26.15,INSCPECTING,INSCPECTING,1,1,0,0,0,WORKING,false,BLOCKED,true,false,BLOCKED,false,false
28.4,INSCPECTING,INSCPECTING,1,1,0,0,0,WORKING,false,WORKING,false,false,BLOCKED,false,false
28.42,INSCPECTING,INSCPECTING,1,1,1,0,0,WORKING,false,WORKING,false,false,BLOCKED,false,false
28.48,INSCPECTING,INSCPECTING,0,1,1,0,0,WORKING,false,WORKING,false,false,BLOCKED,false,false
32.91,INSCPECTING,INSCPECTING,0,1,1,0,0,BLOCKED,false,WORKING,false,false,BLOCKED,false,false
34.46,INSCPECTING,INSCPECTING,0,1,2,0,0,BLOCKED,false,WORKING,false,false,BLOCKED,false,false
38.9,INSCPECTING,INSCPECTING,0,0,1,0,0,BLOCKED,false,WORKING,false,false,BLOCKED,false,false
41.02,INSCPECTING,INSCPECTING,0,0,0,0,0,BLOCKED,false,BLOCKED,false,true,BLOCKED,false,false
41.08,INSCPECTING,INSCPECTING,0,0,0,0,0,WORKING,false,BLOCKED,false,true,BLOCKED,false,false
41.38,INSCPECTING,INSCPECTING,1,0,0,0,0,WORKING,false,BLOCKED,false,true,BLOCKED,false,false
43.2,INSCPECTING,INSCPECTING,0,0,0,0,0,WORKING,false,BLOCKED,false,true,BLOCKED,false,false
45.25,INSCPECTING,INSCPECTING,0,0,0,0,0,BLOCKED,false,BLOCKED,false,true,BLOCKED,false,false
46.68,INSCPECTING,INSCPECTING,0,0,0,0,0,WORKING,false,BLOCKED,false,true,BLOCKED,false,false
46.88,INSCPECTING,INSCPECTING,1,0,0,0,0,WORKING,false,BLOCKED,false,true,BLOCKED,false,false
50.63,INSCPECTING,INSCPECTING,0,0,0,0,0,WORKING,false,BLOCKED,false,true,BLOCKED,false,false
52.64,INSCPECTING,INSCPECTING,0,0,0,0,0,WORKING,false,BLOCKED,false,true,BLOCKED,false,true
53.64,INSCPECTING,INSCPECTING,1,0,0,0,0,WORKING,false,BLOCKED,false,true,BLOCKED,false,true
55.66,INSCPECTING,INSCPECTING,1,0,0,0,0,WORKING,false,WORKING,false,false,BLOCKED,false,true
55.76,INSCPECTING,INSCPECTING,1,0,0,0,0,WORKING,false,BLOCKED,false,false,BLOCKED,false,true
56.42,INSCPECTING,INSCPECTING,0,0,0,0,0,WORKING,false,BLOCKED,false,false,BLOCKED,false,true
60.14,INSCPECTING,INSCPECTING,0,0,0,0,1,WORKING,false,BLOCKED,false,false,BLOCKED,false,true
60.16,INSCPECTING,INSCPECTING,0,0,0,0,1,BLOCKED,false,BLOCKED,false,false,BLOCKED,false,true
66.21,INSCPECTING,INSCPECTING,0,0,0,0,1,BLOCKED,false,BLOCKED,false,true,BLOCKED,false,true
69.94,INSCPECTING,INSCPECTING,0,0,1,0,1,BLOCKED,false,BLOCKED,false,true,BLOCKED,false,true
75.44,INSCPECTING,INSCPECTING,0,0,1,0,2,BLOCKED,false,BLOCKED,false,true,BLOCKED,false,true
78.75,INSCPECTING,INSCPECTING,0,0,2,0,2,BLOCKED,false,BLOCKED,false,true,BLOCKED,false,true
84.05,INSCPECTING,INSCPECTING,0,0,2,0,2,WORKING,false,BLOCKED,false,true,BLOCKED,false,true
89.2,INSCPECTING,INSCPECTING,1,0,2,0,2,WORKING,false,BLOCKED,false,true,BLOCKED,false,true
92.53,INSCPECTING,BLOCKED,1,0,2,0,2,WORKING,false,BLOCKED,false,true,BLOCKED,false,true
96.37,INSCPECTING,BLOCKED,0,0,2,0,2,WORKING,false,BLOCKED,false,true,BLOCKED,false,true
97.51,INSCPECTING,BLOCKED,0,0,2,0,2,BLOCKED,false,BLOCKED,false,true,BLOCKED,false,true
100.36,INSCPECTING,BLOCKED,0,0,2,0,2,WORKING,false,BLOCKED,false,true,BLOCKED,false,true
101.58,INSCPECTING,BLOCKED,0,0,2,0,2,BLOCKED,false,BLOCKED,false,true,BLOCKED,false,true
104.86,INSCPECTING,BLOCKED,0,0,2,0,2,WORKING,false,BLOCKED,false,true,BLOCKED,false,true
107.21,INSCPECTING,BLOCKED,1,0,2,0,2,WORKING,false,BLOCKED,false,true,BLOCKED,false,true
